,Product name,Prices,Seller Name,URL,Product Code,IMG
0,Tobot Machine Warrior Adventure K Key Walkie Talkie,89.56,t20011118.my,https://shopee.com.my/Tobot-Machine-Warrior-Adventure-K-Key-Walkie-Talkie-i.231058965.4818329343,i.231058965.4818329343,"=HYPERLINK(""https://cf.shopee.com.my/file/bcf7109ffa59fbcd406b56b81838e87e"")"
1,The Force Machine Warrior Tobot Adventure K Key Walkie Talkie,97.24,kkcc0922.my,https://shopee.com.my/The-Force-Machine-Warrior-Tobot-Adventure-K-Key-Walkie-Talkie-i.212064861.4812572647,i.212064861.4812572647,"=HYPERLINK(""https://cf.shopee.com.my/file/3dd4ac34d2859164360dc19a1bdd254c"")"
2,Jom Mewarna (Adventure Tobot) (TB1B 1),3.99,bje2007,https://shopee.com.my/Jom-Mewarna-(Adventure-Tobot)-(TB1B-1)-i.117462309.4708203679,i.117462309.4708203679,"=HYPERLINK(""https://cf.shopee.com.my/file/7a087a76cd0774d4ec1200935ad63050"")"
3,Ruisurplus☆ 6 Types Car Transforming Robot Toys Tobot Mini Series Boy Kid Children Toy Gift,5.25 - 5.73,ruisurplus.my,https://shopee.com.my/Ruisurplus%E2%98%86-6-Types-Car-Transforming-Robot-Toys-Tobot-Mini-Series-Boy-Kid-Children-Toy-Gift-i.161780471.4712955900,i.161780471.4712955900,"=HYPERLINK(""https://cf.shopee.com.my/file/afbb9b827c3dc573bec3cc35a2cbced2"")"
4,Tobot【NEW ARRIVAL】MainanKabao car god mainan kanak kanak kereta harta karun robot deformasi mecha deformasi kereta dewa mainan budak lelaki teka teki,87.04,yisi50.my,https://shopee.com.my/Tobot%E3%80%90NEW-ARRIVAL%E3%80%91MainanKabao-car-god-mainan-kanak-kanak-kereta-harta-karun-robot-deformasi-mecha-deformasi-kereta-dewa-mainan-budak-lelaki-teka-teki-i.166599177.4732191139,i.166599177.4732191139,"=HYPERLINK(""https://cf.shopee.com.my/file/060ae1de2962969697fda2808d80c942"")"
5,Machine Warrior Tobot Gd Universe Raider Invisible Yt01106,88.67,t20011118.my,https://shopee.com.my/Machine-Warrior-Tobot-Gd-Universe-Raider-Invisible-Yt01106-i.231058965.4720117288,i.231058965.4720117288,"=HYPERLINK(""https://cf.shopee.com.my/file/e371a2c211c17a58df7ae0c5f03091dd"")"
6,Korea Tobot V Grand Champion 3 Unit Combination Transformer,230.59,point1135_korea.my,https://shopee.com.my/Korea-Tobot-V-Grand-Champion-3-Unit-Combination-Transformer-i.230433771.4821930055,i.230433771.4821930055,"=HYPERLINK(""https://cf.shopee.com.my/file/54ecbcb2d23ebb982deb7ee87073546b"")"
7,Tobot Super Change Police,43.90,tinolay.my,https://shopee.com.my/Tobot-Super-Change-Police-i.267723793.4736747003,i.267723793.4736747003,"=HYPERLINK(""https://cf.shopee.com.my/file/16eaad16479eb452e9c454d573f06150"")"
8,【Ready Stock】 【NEW ARRIVAL】 tobot Zunzhan api baru akan mengubah aloi robot robot lima dalam satu Transformers mainan trak pemadam api,51.93 - 103.40,shangyuz.my,https://shopee.com.my/%E3%80%90Ready-Stock%E3%80%91-%E3%80%90NEW-ARRIVAL%E3%80%91-tobot-Zunzhan-api-baru-akan-mengubah-aloi-robot-robot-lima-dalam-satu-Transformers-mainan-trak-pemadam-api-i.252367236.4736731236,i.252367236.4736731236,"=HYPERLINK(""https://cf.shopee.com.my/file/48aaa5464b4ba765ce4a8b5a74fe5dc8"")"
9,Tobot Quatran,50.70,tinolay.my,https://shopee.com.my/Tobot-Quatran-i.267723793.4747544929,i.267723793.4747544929,"=HYPERLINK(""https://cf.shopee.com.my/file/79714e4bb2b1c49b3c0cff238b3d18ab"")"
